SESSION: 2020-10-27T20:45:56-05:00 {"source":"LoggingProvider.initialise","message":"{\"repoKey\":null,\"repoHash\":null,\"userId\":\"eb7d37edc33cd3e6012b3043869664e285073ac23d1d4db4eec369bc3ba96cd0\",\"loggedInUserId\":null,\"userOS\":\"win32\",\"extVersion\":\"0.27.5\",\"sessionId\":\"46c7d77b-67bf-4bfd-b549-137bb7b0156a1603849515580\",\"editorVersion\":\"1.50.1\",\"multiRootWorkspace\":false,\"workspaceFoldersCount\":1,\"skippedRegWall\":false,\"fileHash\":\"5b7065e90caf6de092e274e10b664f58997dc1b5cc03a57287a895e0320730d4\",\"filePath\":\"webapp\\\\server\\\\.babelrc\",\"repoUrl\":null}"} 
ERROR: 2020-10-27T21:08:53-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:08:53-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:08:53-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:08:53-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:08:53-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:08:53-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:08:53-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:08:53-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:08:53-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:08:53-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:08:53-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:08:53-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:08:53-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:08:53-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:08:53-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:08:53-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:08:53-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:08:53-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:08:53-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:08:53-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:08:53-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:08:53-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:08:53-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:08:53-05:00 {"source":"Extension.uncaughtException","message":"Cannot read property 'apply' of undefined"} 
ERROR: 2020-10-27T21:10:37-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:10:58-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:12:39-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:12:41-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:12:57-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:13:08-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:13:12-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:13:42-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:13:43-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:13:49-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:13:54-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:13:59-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:14:13-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:14:16-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:14:17-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:14:50-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
ERROR: 2020-10-27T21:15:13-05:00 {"source":"CodeLens.computeFromGit","message":{}} 
